City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,nizhniy odes,63.6445,54.856,19.43,67,3,4.45,RU,1691379368
181,hithadhoo,-0.6,73.0833,28.01,74,80,2.37,MV,1691379368
182,mariental,-24.6333,17.9667,11.96,27,2,4.74,NA,1691379368
183,inhambane,-23.865,35.3833,16.29,82,0,2.74,MZ,1691379369
184,asau,46.4333,26.4,16.51,89,99,4.35,RO,1691379369
185,masterton,-40.9597,175.6575,12.16,81,100,5.33,NZ,1691379369
186,waingapu,-9.6567,120.2641,28.49,51,3,8.68,ID,1691379370
187,jayapura,-2.5333,140.7,33.66,75,85,3.02,ID,1691379298
188,elliot lake,46.3834,-82.6331,15.61,66,100,0.74,CA,1691379370
189,vadso,70.0744,29.7487,15.09,77,0,1.03,NO,1691379371
190,boa vista,2.8197,-60.6733,28.99,70,0,1.03,BR,1691379371
191,alice springs,-23.7,133.8833,19.75,32,0,3.6,AU,1691379371
192,cabo san lucas,22.8909,-109.9124,29.17,74,75,0.0,MX,1691379371
193,dongola,19.1667,30.4833,31.88,41,3,2.46,SD,1691379372
194,el calafate,-50.3408,-72.2768,-3.32,63,100,0.8,AR,1691379372
195,jamestown,42.097,-79.2353,22.77,95,100,3.6,US,1691379372
196,sarangani,5.4033,125.4636,28.74,74,76,7.25,PH,1691379372
197,west island,-12.1568,96.8225,26.99,78,75,4.12,CC,1691379373
198,castillos,-34.1667,-53.8333,11.79,85,89,6.78,UY,1691379373
199,westport,41.1415,-73.3579,24.15,86,0,2.06,US,1691379148
200,ilheus,-14.7889,-39.0494,21.31,90,78,0.57,BR,1691379352
201,rio grande,-32.035,-52.0986,21.08,86,85,2.27,BR,1691379374
202,georgetown,5.4112,100.3354,30.96,79,20,2.06,MY,1691379118
203,saipan,15.1355,145.701,31.39,100,0,3.6,MP,1691379280
204,kapuskasing,49.4169,-82.4331,18.05,88,100,1.03,CA,1691379374
205,puerto baquerizo moreno,-0.9,-89.6,23.86,71,84,5.74,EC,1691379375
206,acapulco de juarez,16.8634,-99.8901,29.9,74,75,2.57,MX,1691379375
207,la estrella,6.1577,-75.6432,19.68,96,100,1.34,CO,1691379375
208,sirvintos,55.05,24.95,24.75,63,2,6.64,LT,1691379376
209,wailua homesteads,22.0669,-159.378,28.44,76,20,6.17,US,1691379376
210,carnarvon,-24.8667,113.6333,23.96,50,84,3.63,AU,1691379376
211,vila velha,-20.3297,-40.2925,21.97,86,40,3.09,BR,1691379172
212,ermelo,-26.5333,29.9833,3.66,42,0,1.69,ZA,1691379377
213,ola,59.5833,151.2833,16.75,47,100,2.81,RU,1691379377
214,kangding,30.0513,101.9603,19.7,81,98,1.95,CN,1691379327
215,nogliki,51.8333,143.1667,23.14,47,1,5.39,RU,1691379378
216,al burayqah,30.4062,19.5739,25.68,68,0,5.63,LY,1691379378
217,abepura,-2.6333,140.5833,33.45,52,40,4.12,ID,1691379379
218,ma'rib,15.4591,45.3253,30.24,33,58,3.05,YE,1691379379
219,puerto ayora,-0.7393,-90.3518,24.19,88,83,1.34,EC,1691379379
220,ribeira grande,38.5167,-28.7,20.99,85,11,2.24,PT,1691379379
221,merizo village,13.2658,144.6691,31.1,84,93,2.57,GU,1691379380
222,laguna,38.421,-121.4238,35.16,27,0,2.06,US,1691379380
223,yinchuan,38.4681,106.2731,32.92,24,9,1.27,CN,1691379314
224,tiksi,71.6872,128.8694,10.27,50,73,2.56,RU,1691379381
225,sultanah,24.4926,39.5857,28.25,13,0,2.06,SA,1691379381
226,makurazaki,31.2667,130.3167,29.15,75,100,9.27,JP,1691379381
227,longuyon,49.4455,5.6015,10.99,97,5,2.7,FR,1691379381
228,rosetta,31.4044,30.4164,27.07,70,0,2.84,EG,1691379382
229,barra de santo antonio,-9.4047,-35.5072,22.6,84,18,4.68,BR,1691379382
230,ha'il,27.5219,41.6907,28.01,18,0,0.0,SA,1691379382
231,eureka,40.8021,-124.1637,17.33,86,41,0.45,US,1691379383
232,savonlinna,61.8699,28.88,19.03,94,0,3.6,FI,1691379383
233,belokurikha,51.9959,84.9896,22.03,69,3,2.35,RU,1691379383
234,adiake,5.2863,-3.304,22.79,94,97,2.62,CI,1691379383
235,sinop,41.7711,34.8709,23.77,63,0,1.12,TR,1691379384
236,meadow lakes,61.6247,-149.6011,19.24,77,100,2.57,US,1691379384
237,minas de marcona,-15.2119,-75.1103,12.23,88,43,5.17,PE,1691379384
238,cradock,-32.1642,25.6192,8.7,86,13,0.4,ZA,1691379384
239,hammerfest,70.6634,23.6821,11.25,87,40,2.06,NO,1691379385
240,opuwo,-18.0607,13.84,12.37,27,0,3.75,NA,1691379385
241,kolwezi,-10.7148,25.4667,13.29,56,0,3.76,CD,1691379385
242,hell-ville,-13.4,48.2667,19.93,66,40,1.03,MG,1691379386
243,tadine,-21.55,167.8833,20.99,67,76,7.3,NC,1691379386
244,bilimbay,56.9689,59.8149,19.46,88,32,1.9,RU,1691379386
245,el dorado,38.7666,-120.5177,27.92,38,0,0.89,US,1691379387
246,orsk,51.2049,58.5668,19.5,77,75,5.0,RU,1691379387
247,mazeikiai,56.3167,22.3333,22.56,74,49,6.02,LT,1691379388
248,ammanford,51.7928,-3.9883,13.65,90,29,1.03,GB,1691379388
249,floha,50.8561,13.0741,14.16,94,100,1.79,DE,1691379388
250,saynshand,44.8824,110.1163,29.03,31,3,5.7,MN,1691379389
251,salmas,38.1973,44.7653,25.56,33,6,0.63,IR,1691379389
252,west mackay,-21.1481,149.1605,25.35,61,0,6.72,AU,1691379389
253,rio gallegos,-51.6226,-69.2181,0.03,74,0,7.2,AR,1691379390
254,port lincoln,-34.7333,135.8667,13.69,61,91,3.76,AU,1691379390
255,coahuayana de hidalgo,18.7,-103.6583,25.77,92,100,3.02,MX,1691379390
256,brisas de zicatela,15.8369,-97.0419,30.29,62,75,0.0,MX,1691379390
257,la ronge,55.1001,-105.2842,18.14,77,75,1.03,CA,1691379391
258,fenoarivo be,-18.4333,46.5667,11.85,82,2,1.73,MG,1691379391
259,sabzevar,36.2126,57.6819,25.6,50,0,5.14,IR,1691379391
260,horta,38.5333,-28.6333,20.57,85,13,2.24,PT,1691379392
261,byumba,-1.5763,30.0675,13.11,65,58,0.79,RW,1691379392
262,kingston,17.997,-76.7936,30.53,80,20,2.06,JM,1691379392
263,sumbawanga,-7.9667,31.6167,10.75,76,4,1.38,TZ,1691379392
264,constantia,44.1833,28.65,20.39,70,2,10.59,RO,1691379393
265,buala,-8.145,159.5921,27.67,78,53,3.61,SB,1691379393
266,san francisco de la paz,14.9,-86.2,26.84,95,99,1.2,HN,1691379394
267,thompson,55.7435,-97.8558,13.09,94,20,1.03,CA,1691379394
268,vorgashor,67.5833,63.95,19.56,83,99,2.32,RU,1691379394
269,rechka-vydrino,51.485,104.8461,13.63,94,97,1.69,RU,1691379394
270,ta`u,-14.2336,-169.5144,27.01,74,35,2.58,AS,1691379395
271,lihue,21.9789,-159.3672,28.77,69,20,6.17,US,1691379395
272,wewak,-3.5534,143.6268,28.35,72,91,3.32,PG,1691379395
273,manggar,-2.8833,108.2667,29.05,70,91,6.39,ID,1691379396
274,weno,7.4515,151.8468,29.97,79,100,2.06,FM,1691379396
275,san carlos,9.6612,-68.5827,23.25,95,100,0.93,VE,1691379396
276,bam,29.106,58.357,33.62,15,2,4.37,IR,1691379396
277,tindouf,27.6711,-8.1474,29.25,42,0,5.14,DZ,1691379397
278,praia,14.9215,-23.5087,26.3,83,75,1.54,CV,1691379305
279,sainte-rose,16.3324,-61.6979,26.02,94,59,1.54,GP,1691379397
280,jakobstad,63.6749,22.7026,18.09,83,80,0.45,FI,1691379398
281,toliara,-23.35,43.6667,19.36,63,6,2.53,MG,1691379398
282,murun-kuren,49.6342,100.1625,20.65,54,76,1.87,MN,1691379398
283,venezuela,8.0,-66.0,27.03,77,45,1.86,VE,1691379399
284,lazaro cardenas,17.9583,-102.2,27.74,78,58,2.48,MX,1691379399
285,linhares,-19.3911,-40.0722,18.62,92,73,1.14,BR,1691379400
286,souillac,-20.5167,57.5167,22.21,60,40,5.14,MU,1691379400
287,ibshaway,29.358,30.6814,28.17,42,0,4.4,EG,1691379400
288,tosya,41.0155,34.0401,22.27,52,0,1.08,TR,1691379401
289,labytnangi,66.6572,66.4183,24.13,55,0,0.22,RU,1691379402
290,porvoo,60.3923,25.6651,22.35,95,1,5.2,FI,1691379402
291,bobo-dioulasso,11.1771,-4.2979,23.25,100,20,2.06,BF,1691379403
292,fortuna,40.5982,-124.1573,17.18,91,0,4.12,US,1691379403
293,petukhovo,55.0692,67.9019,23.07,44,39,4.54,RU,1691379404
294,santo antonio,-6.3106,-35.4789,21.06,97,25,3.63,BR,1691379404
295,freetown,8.484,-13.2299,24.51,88,100,1.28,SL,1691379404
296,tefe,-3.3542,-64.7114,26.6,69,95,1.05,BR,1691379405
297,twentynine palms,34.1356,-116.0542,36.08,8,0,2.68,US,1691379405
298,ancud,-41.8697,-73.8203,4.45,89,3,3.13,CL,1691379405
299,galle,6.0367,80.217,28.19,76,68,6.0,LK,1691379405
300,bir el ater,34.7449,8.0602,20.19,56,0,1.55,DZ,1691379406
301,sedhiou,12.7081,-15.5569,24.58,96,100,1.65,SN,1691379406
302,bodo,67.28,14.405,12.02,88,40,1.54,NO,1691379406
303,panambi,-28.2925,-53.5017,18.49,64,2,3.52,BR,1691379407
304,camabatela,-8.1881,15.375,13.09,81,2,0.8,AO,1691379407
305,funafuti,-8.5243,179.1942,28.43,73,1,4.48,TV,1691379407
306,tselinnoye,53.0833,85.6667,22.31,39,36,3.4,RU,1691379408
307,priozersk,61.0393,30.1291,20.62,92,9,1.79,RU,1691379408
308,nabire,-3.3667,135.4833,30.27,58,65,2.8,ID,1691379408
309,dudinka,69.4058,86.1778,22.21,44,4,2.37,RU,1691379408
310,geidam,12.897,11.9304,23.85,81,85,3.53,NG,1691379409
311,crane,31.3974,-102.3501,32.46,29,0,7.68,US,1691379409
312,slaton,33.4373,-101.6435,32.34,35,10,6.1,US,1691379409
313,hadibu,12.65,54.0333,25.77,79,78,11.16,YE,1691379410
314,slavyanka,42.8633,131.3847,18.0,88,100,5.05,RU,1691379410
315,ulladulla,-35.35,150.4667,14.63,65,45,2.88,AU,1691379386
316,atafu village,-8.5421,-172.5159,28.55,78,15,5.8,TK,1691379411
317,kailua-kona,19.6406,-155.9956,28.98,75,40,4.63,US,1691379411
318,hwaseong-si,37.2068,126.8169,34.91,62,7,1.61,KR,1691379411
319,castlegar,49.2998,-117.6689,24.38,91,98,1.25,CA,1691379411
320,kitimat,54.0524,-128.6534,27.21,63,11,3.58,CA,1691379412
321,salavan,15.7167,106.4167,27.94,82,98,3.95,LA,1691379412
322,kadipur,26.1667,82.3833,28.66,75,100,5.26,IN,1691379412
323,micheweni,-4.9667,39.8333,23.44,85,13,5.08,TZ,1691379413
